src-id,dst-id,label,properties
2271,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1460"",""title"":""Sendingin"",""__label"":""place-of-narration""}"
247,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1010"",""title"":""Huldubátur"",""__label"":""place-of-narration""}"
2451,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1505"",""title"":""Grímseyingurinn og bjarndýrið"",""__label"":""place-of-narration""}"
3636,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4131"",""title"":""Goðaborg og Valvellir"",""__label"":""place-of-narration""}"
1458,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_377"",""title"":""Steinahellir"",""__label"":""place-of-narration""}"
3053,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_14_2382"",""title"":""Frá Helgustaða-Einari: Stúlkan í Hallmundarhrauni"",""__label"":""place-of-narration""}"
3099,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_246"",""title"":""Snæfjalladraugurinn"",""__label"":""place-of-narration""}"
3963,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3969"",""title"":""Sandhólaferju-Bjarni glímir við sel"",""__label"":""place-of-narration""}"
1263,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_5028"",""title"":""Ókunnur bær"",""__label"":""place-of-narration""}"
2225,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5397"",""title"":""Hauskúpan á Hjaltastöðum"",""__label"":""place-of-narration""}"
4292,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3610"",""title"":""Ferðalög og hrekkir Brands; D"",""__label"":""place-of-narration""}"
2498,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1840"",""title"":""Gvöndarsteinn og Gvöndarkirkja"",""__label"":""place-of-narration""}"
4129,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_378"",""title"":""Holtsá og Steinalækur"",""__label"":""place-of-narration""}"
